input_ind,dag_input_ind,dag_input_val,con_input_ind,con_input_val,output_ind,dag_output_ind,tv
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[1, 1, 1]","[""k1""]","[""j1""]","""j2""","[""j3"", ""l1"", ""l2"", ""l3""]",[0.0 0.0 1.0 1.0]
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[1, 1, 1]","[""k1""]","[""j1""]","""j3""","[""j2"", ""l1"", ""l2"", ""l3""]",[0.0 0.0 0.0 1.0]
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[1, 1, 1]","[""k1""]","[""j1""]","""l1""","[""j2"", ""j3"", ""l2"", ""l3""]",[0.0 1.0 0.0 1.0]
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[1, 1, 1]","[""k1""]","[""j1""]","""l2""","[""j2"", ""j3"", ""l1"", ""l3""]",[0.0 0.0 0.0 0.0]
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[1, 1, 1]","[""k1""]","[""j1""]","""l3""","[""j2"", ""j3"", ""l1"", ""l2""]",[0.0 0.0 0.0 0.0]
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[2, 1, 1]","[""k1""]","[""j1""]","""j2""","[""j3"", ""l1"", ""l2"", ""l3""]",[0.0 0.0 1.0 1.0]
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[2, 1, 1]","[""k1""]","[""j1""]","""j3""","[""j2"", ""l1"", ""l2"", ""l3""]",[1.0 1.0 1.0 0.0]
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[2, 1, 1]","[""k1""]","[""j1""]","""l1""","[""j2"", ""j3"", ""l2"", ""l3""]",[0.0 1.0 0.0 1.0]
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[2, 1, 1]","[""k1""]","[""j1""]","""l2""","[""j2"", ""j3"", ""l1"", ""l3""]",[0.0 0.0 0.0 0.0]
"[""i1"", ""i2""]","[""i3"", ""k2"", ""k3""]","[2, 1, 1]","[""k1""]","[""j1""]","""l3""","[""j2"", ""j3"", ""l1"", ""l2""]",[0.0 0.0 0.0 0.0]
